position,accelValues,Velocity,prevVelocityVal,prevAccelVal,dT
0,0.0
3.165695214130957e-06,0.0314394,0.0001577399427183464,0,0,0.010034539000002951
5.311833605246399e-06,0.021538854,0.0004221544084302978,0.0001577399427183464,0.0314394,0.009981999999922664
-4.665298960115578e-06,-0.09774885,3.7182547722030624e-05,0.0004221544084302978,0.021538854,0.010102922999976727
-3.536848104695e-05,-0.31229442,-0.0019956858966323075,3.7182547722030624e-05,-0.09774885,0.009915384999999333
-0.00010927805807656052,-0.7427365,-0.007257895794794869,-0.0019956858966323075,-0.31229442,0.009975461000067298
-0.00023936532214969322,-1.3001325,-0.017475147797402633,-0.007257895794794869,-0.7427365,0.010002846000020327
-0.0004479744429573384,-2.0862193,-0.03440638699230082,-0.017475147797402633,-1.3001325,0.009999692999940635
-0.0007289897355842205,-2.779835,-0.05886897624082649,-0.03440638699230082,-2.0862193,0.010054384000000027
-0.0010829291314272762,-3.2196686,-0.09032068092137802,-0.05886897624082649,-2.779835,0.010484769000072447
-0.0014108265544403517,-3.5133502,-0.12284349471639464,-0.09032068092137802,-3.2196686,0.00966069300000072
-0.001762942227932066,-3.6675534,-0.15802412018615747,-0.12284349471639464,-3.5133502,0.009798383999964244
-0.0021378584241731023,-3.7735047,-0.19510921155421884,-0.15802412018615747,-3.6675534,0.009967693000021427
-0.0025292976079878777,-3.8971653,-0.23354723424469498,-0.19510921155421884,-3.7735047,0.010022076999916862
-0.0029326499449894884,-4.0287495,-0.2732002808413524,-0.23354723424469498,-3.8971653,0.010005922999994254
-0.0033463083642092284,-4.144742,-0.31402750024307735,-0.2732002808413524,-4.0287495,0.009990154000092843
-0.003766843851184763,-4.189292,-0.35577748111933044,-0.31402750024307735,-4.144742,0.010019152999916514
-0.0041670256489259325,-4.0168824,-0.39673134227607193,-0.35577748111933044,-4.189292,0.009981231000097068
-0.00453122599852647,-3.6528978,-0.43502301521071307,-0.39673134227607193,-4.0168824,0.009985076999896592
-0.004828382257738631,-2.9633508,-0.4681500624997462,-0.43502301521071307,-3.6528978,0.010013845999992554
-0.00505905318005715,-2.3086624,-0.49449897555597055,-0.4681500624997462,-2.9633508,0.009995769000056498
-0.005309225107797435,-1.9016948,-0.5186445657093869,-0.49449897555597055,-2.3086624,0.011469615999999405
-0.0055369113542896664,-1.7666035,-0.5394670960912993,-0.5186445657093869,-1.9016948,0.011352691999945819
-0.005641998833564257,-1.7927549,-0.5530927311524931,-0.5394670960912993,-1.7666035,0.0076562310000554135
-0.005809354393431695,-1.8247154,-0.5704147091387559,-0.5530927311524931,-1.7927549,0.009576845999959005
-0.0060234302620593375,-2.0004725,-0.5901999044725496,-0.5704147091387559,-1.8247154,0.010344691999989664
-0.0062997805328176525,-2.4016147,-0.6138104991699435,-0.5901999044725496,-2.0004725,0.010727000000088083
-0.006525552339728833,-2.8656793,-0.6371869527326783,-0.6138104991699435,-2.4016147,0.008876076999968063
-0.006844612565766405,-3.1871197,-0.6674674779266898,-0.6371869527326783,-2.8656793,0.01000546199998098
-0.007150116532519046,-3.058097,-0.6986779483849508,-0.6674674779266898,-3.1871197,0.009995000000003529
-0.007355232545103991,-2.0506868,-0.7242248151533696,-0.6986779483849508,-3.058097,0.010001154000065071
-0.00727221301081445,0.8278884,-0.7303473196644154,-0.7242248151533696,-2.0506868,0.010013922999974056
-0.006837949242391449,4.3501306,-0.7044795315704442,-0.7303473196644154,0.8278884,0.009991383999931713
-0.00606287953026487,7.7425947,-0.6439842765472015,-0.7044795315704442,4.3501306,0.010005231000036474
-0.0049917396833888605,10.73649,-0.5516968817768454,-0.6439842765472015,7.7425947,0.00998830799994721
-0.0036752280296683346,13.136201,-0.4322021269754285,-0.5516968817768454,10.73649,0.01001100000007682
-0.002246646872513181,14.318396,-0.29508542726888554,-0.4322021269754285,13.136201,0.00998861499999748
-0.0009418615447696597,13.021997,-0.15824781290923265,-0.29508542726888554,14.318396,0.010009922999984155
0.00013877476962130715,10.811684,-0.03910873525390955,-0.15824781290923265,13.021997,0.00999753899998268
0.0010027513410389328,8.608614,0.05816828510995814,-0.03910873525390955,10.811684,0.010018077000040648
0.0016902297855217185,6.895668,0.13557221916487272,0.05816828510995814,8.608614,0.009984845999952086
0.002266916680064239,5.770864,0.19888295339795398,0.13557221916487272,6.895668,0.00999653799999578
0.0027542027945574683,4.877887,0.25209927189116194,0.19888295339795398,5.770864,0.00999484700002995
0.00314415351592233,3.8960304,0.29598842911389667,0.25209927189116194,4.877887,0.01000446099999408
0.003422324967001664,2.784027,0.3293748416348038,0.29598842911389667,3.8960304,0.009995846000038
0.003593239167650727,1.4773479,0.352292351783899,0.3293748416348038,2.784027,0.010755922999919676
0.0036083348662628158,0.17642891,0.35994106953020316,0.352292351783899,1.4773479,0.009250000000065484
0.00352099669213949,-0.8740674,0.3564542454981074,0.35994106953020316,0.17642891,0.009996076999982506
0.0033551614109514826,-1.5948709,0.3438662685213792,0.3564542454981074,-0.8740674,0.010197077000043464
0.0031450883711369145,-2.1838512,0.3253357063046863,0.3438662685213792,-1.5948709,0.00980784599994422
0.0028626642956524105,-2.82698,0.3002936915487677,0.3253357063046863,-2.1838512,0.009995153999966533
0.0025107077021966273,-3.5018187,0.2685696134297611,0.3002936915487677,-2.82698,0.010025308000081168
0.002099558611734476,-4.1230273,0.23049875735209444,0.2685696134297611,-3.5018187,0.009985999999912565
0.0016329092604777534,-4.6709476,0.1865498520849721,0.23049875735209444,-4.1230273,0.009995231000061722
